Continent,WeekRange,Mean,Std,Min,Max
America,07/06/2020 - 13/06/2020,3175.4625850340135,6894.694664057056,0,33790
America,14/06/2020 - 20/06/2020,4025.3401360544217,9847.892077834003,0,63523
America,21/06/2020 - 27/06/2020,4359.755102040816,10895.230457426593,-19796,49086
America,28/06/2020 - 04/07/2020,5248.306122448979,12580.361568737511,0,55084
America,05/07/2020 - 11/07/2020,5828.0952380952385,14306.925187462006,0,68522
America,12/07/2020 - 18/07/2020,6134.244897959184,15066.442051015247,0,70774
America,19/07/2020 - 25/07/2020,6887.489795918367,16796.89315302307,0,74949
America,26/07/2020 - 01/08/2020,6830.666666666667,15949.25617681299,0,69204
America,02/08/2020 - 08/08/2020,6653.210884353742,14894.074718340082,0,63767
America,09/08/2020 - 15/08/2020,6703.65306122449,14826.080123581683,0,70072
America,16/08/2020 - 22/08/2020,5817.60544217687,12019.80752219665,0,49264
America,23/08/2020 - 29/08/2020,5707.6122448979595,11727.490994818443,0,50437
America,30/08/2020 - 05/09/2020,5720.299319727891,11936.184215896697,0,50225
America,06/09/2020 - 12/09/2020,4735.414965986394,9728.706787902487,-7953,45615
America,13/09/2020 - 19/09/2020,5221.013605442177,10749.572417100997,0,50227
America,20/09/2020 - 26/09/2020,5092.170068027211,10482.127058124202,0,48997
America,27/09/2020 - 03/10/2020,5078.517006802721,10690.136034831452,0,53547
America,04/10/2020 - 10/10/2020,5496.0204081632655,11613.762922739903,0,58213
America,11/10/2020 - 17/10/2020,5364.3877551020405,12619.370893969914,0,70310
America,18/10/2020 - 24/10/2020,6311.367346938776,15421.949669790672,0,82132
America,25/10/2020 - 31/10/2020,6794.428571428572,17943.857800189588,0,100499
America,01/11/2020 - 07/11/2020,7793.238095238095,24042.37096533333,0,130032
America,08/11/2020 - 14/11/2020,10043.102040816326,31774.252403766855,0,178761
America,15/11/2020 - 21/11/2020,11147.42857142857,36999.15626120541,0,201085
America,22/11/2020 - 28/11/2020,11522.040816326531,36740.72560969761,0,215202
America,29/11/2020 - 05/12/2020,13137.741496598639,42491.34280627835,0,235134
America,06/12/2020 - 12/12/2020,14224.795918367347,46510.867749897734,0,236902
America,13/12/2020 - 19/12/2020,14960.829931972788,47833.867806400456,0,246440
America,20/12/2020 - 26/12/2020,13177.340136054421,42234.711194929834,0,220787
America,27/12/2020 - 02/01/2021,14232.802721088436,47388.022524863576,0,313926
America,03/01/2021 - 09/01/2021,17190.299319727892,53806.80517680316,0,302860
America,10/01/2021 - 16/01/2021,16565.51020408163,48053.688915937455,0,244336
America,17/01/2021 - 23/01/2021,13990.421768707483,38138.956148289726,0,192027
America,24/01/2021 - 30/01/2021,12572.020408163266,33217.018899887305,0,166715
America,31/01/2021 - 06/02/2021,10301.374149659863,27043.82163665516,0,130407
America,07/02/2021 - 13/02/2021,8636.666666666666,21658.241859461312,0,106152
America,14/02/2021 - 20/02/2021,7231.0,17062.03375478184,0,74874
America,21/02/2021 - 27/02/2021,7718.707482993197,18297.627632441636,0,77060
