Year,Month,Country/Region,Average
2021,5,Algeria,219.51612903225808
2021,6,Algeria,357.1
2021,7,Algeria,1024.7096774193549
2021,8,Algeria,796.3870967741935
2021,9,Algeria,242.63333333333333
2021,10,Algeria,99.7741935483871
2021,11,Algeria,135.96666666666667
2021,12,Algeria,254.8709677419355
2022,1,Algeria,1086.6129032258063
2022,2,Algeria,457.82142857142856
2022,3,Algeria,23.70967741935484
2022,4,Algeria,3.6333333333333333
2022,5,Algeria,3.3548387096774195
2022,6,Algeria,6.766666666666667
2022,7,Algeria,44.096774193548384
2022,8,Algeria,91.93548387096774
2022,9,Algeria,12.3
2022,10,Algeria,5.32258064516129
2022,11,Algeria,8.4
2022,12,Algeria,4.451612903225806
2023,1,Algeria,4.838709677419355
2023,2,Algeria,2.25
2023,3,Algeria,6.111111111111111
2020,1,Andorra,0.0
2020,2,Andorra,0.0
2020,3,Andorra,12.129032258064516
2020,4,Andorra,12.3
2020,5,Andorra,0.6129032258064516
2020,6,Andorra,3.033333333333333
2020,7,Andorra,2.2580645161290325
2020,8,Andorra,8.096774193548388
2020,9,Andorra,29.133333333333333
2020,10,Andorra,87.29032258064517
2020,11,Andorra,66.3
2020,12,Andorra,42.064516129032256
2021,1,Andorra,60.903225806451616
2021,2,Andorra,33.17857142857143
2021,3,Andorra,36.903225806451616
2021,4,Andorra,40.733333333333334
2021,5,Andorra,15.96774193548387
2021,6,Andorra,6.133333333333334
2021,7,Andorra,24.741935483870968
2021,8,Andorra,11.451612903225806
2021,9,Andorra,6.3
2021,10,Andorra,9.483870967741936
2021,11,Andorra,53.3
2021,12,Andorra,213.70967741935485
2022,1,Andorra,394.1290322580645
2022,2,Andorra,72.89285714285714
2022,3,Andorra,65.3225806451613
2022,4,Andorra,44.166666666666664
2022,5,Andorra,49.83870967741935
2022,6,Andorra,29.333333333333332
2022,7,Andorra,55.935483870967744
2022,8,Andorra,16.741935483870968
2022,9,Andorra,6.666666666666667
2022,10,Andorra,9.935483870967742
2022,11,Andorra,22.8
2022,12,Andorra,17.161290322580644
2023,1,Andorra,2.838709677419355
2023,2,Andorra,0.9642857142857143
2023,3,Andorra,2.6666666666666665
2020,1,Angola,0.0
2020,2,Angola,0.0
2020,3,Angola,0.22580645161290322
2020,4,Angola,0.6666666666666666
2020,5,Angola,1.903225806451613
2020,6,Angola,6.6
2020,7,Angola,27.870967741935484
2020,8,Angola,48.58064516129032
2020,9,Angola,77.26666666666667
2020,10,Angola,188.16129032258064
2020,11,Angola,144.46666666666667
2020,12,Angola,77.87096774193549
2021,1,Angola,72.35483870967742
2021,2,Angola,36.107142857142854
2021,3,Angola,48.516129032258064
2021,4,Angola,144.7
2021,5,Angola,254.80645161290323
2021,6,Angola,143.26666666666668
