Country/Region,Year,Month,Average
Argentina,2022,6,4553.3
Argentina,2022,7,6230.1612903225805
Argentina,2022,8,3803.8064516129034
Argentina,2022,9,1006.5
Argentina,2022,10,337.258064516129
Argentina,2022,11,279.06666666666666
Argentina,2022,12,5286.8387096774195
Argentina,2023,1,4709.548387096775
Argentina,2023,2,249.64285714285714
Argentina,2023,3,92.44444444444444
Armenia,2020,1,0.0
Armenia,2020,2,0.0
Armenia,2020,3,17.161290322580644
Armenia,2020,4,51.13333333333333
Armenia,2020,5,232.7741935483871
Armenia,2020,6,542.0
Armenia,2020,7,419.61290322580646
Armenia,2020,8,168.74193548387098
Armenia,2020,9,219.26666666666668
Armenia,2020,10,1272.7096774193549
Armenia,2020,11,1510.3666666666666
Armenia,2020,12,783.3870967741935
Armenia,2021,1,245.70967741935485
Armenia,2021,2,179.71428571428572
Armenia,2021,3,663.9032258064516
Armenia,2021,4,780.8333333333334
Armenia,2021,5,213.09677419354838
Armenia,2021,6,80.83333333333333
Armenia,2021,7,161.7741935483871
Armenia,2021,8,387.9032258064516
Armenia,2021,9,652.0666666666667
Armenia,2021,10,1504.1612903225807
Armenia,2021,11,1006.4
Armenia,2021,12,206.83870967741936
Armenia,2022,1,737.5806451612904
Armenia,2022,2,1858.4642857142858
Armenia,2022,3,86.6774193548387
Armenia,2022,4,11.6
Armenia,2022,5,3.096774193548387
Armenia,2022,6,9.333333333333334
Armenia,2022,7,68.45161290322581
Armenia,2022,8,291.38709677419354
Armenia,2022,9,282.56666666666666
Armenia,2022,10,76.35483870967742
Armenia,2022,11,16.5
Armenia,2022,12,7.709677419354839
Armenia,2023,1,1.032258064516129
Armenia,2023,2,28.964285714285715
Armenia,2023,3,54.333333333333336
Australia,2020,1,0.0
Australia,2020,2,0.008620689655172414
Australia,2020,3,1.4596774193548387
Australia,2020,4,0.7791666666666667
Australia,2020,5,0.1532258064516129
Australia,2020,6,0.09166666666666666
Australia,2020,7,0.2217741935483871
Australia,2020,8,-0.04435483870967742
Australia,2020,9,0.125
Australia,2020,10,0.3387096774193548
Australia,2020,11,0.21666666666666667
Australia,2020,12,0.16129032258064516
Australia,2021,1,0.1693548387096774
Australia,2021,2,0.044642857142857144
Australia,2021,3,0.125
Australia,2021,4,0.23333333333333334
Australia,2021,5,0.07661290322580645
Australia,2021,6,0.03333333333333333
Australia,2021,7,0.12096774193548387
Australia,2021,8,0.11693548387096774
Australia,2021,9,0.041666666666666664
Australia,2021,10,0.06451612903225806
Australia,2021,11,0.0375
Australia,2021,12,0.16129032258064516
Australia,2022,1,1.5725806451612903
Australia,2022,2,34.879464285714285
Australia,2022,3,699.891129032258
Australia,2022,4,872.8583333333333
Australia,2022,5,1418.3709677419354
Australia,2022,6,686.1333333333333
Australia,2022,7,640.6451612903226
Australia,2022,8,254.13709677419354
Australia,2022,9,99.89583333333333
Australia,2022,10,80.85887096774194
Australia,2022,11,143.45416666666668
Australia,2022,12,187.0201612903226
Australia,2023,1,108.58064516129032
Australia,2023,2,38.1875
Australia,2023,3,33.111111111111114
Austria,2020,1,0.0
Austria,2020,2,0.10344827586206896
Austria,2020,3,298.741935483871
Austria,2020,4,204.6
Austria,2020,5,38.96774193548387
Austria,2020,6,33.96666666666667
Austria,2020,7,104.64516129032258
Austria,2020,8,201.8709677419355
Austria,2020,9,570.0
Austria,2020,10,1846.3225806451612
Austria,2020,11,5901.1
Austria,2020,12,2502.032258064516
Austria,2021,1,1716.8709677419354
Austria,2021,2,1548.5714285714287
Austria,2021,3,2730.8387096774195
Austria,2021,4,2475.5666666666666
Austria,2021,5,908.1612903225806
Austria,2021,6,207.13333333333333
Austria,2021,7,267.96774193548384
Austria,2021,8,915.3870967741935
Austria,2021,9,1836.0666666666666
Austria,2021,10,2727.6774193548385
Austria,2021,11,10855.066666666668
Austria,2021,12,3964.483870967742
Austria,2022,1,18219.064516129034
Austria,2022,2,29847.178571428572
Austria,2022,3,37765.32258064516
