Continent,Week,mean,std,min,max
Africa,17/07/2022 - 23/07/2022,679.4285714285714,3537.3773708590306,0,20903
Africa,24/07/2022 - 30/07/2022,1000.5428571428571,4659.766381059293,0,27340
Africa,31/07/2022 - 06/08/2022,817.7714285714286,2701.4508311789264,0,14323
Africa,07/08/2022 - 13/08/2022,456.65714285714284,1507.3973468679515,0,5967
Africa,14/08/2022 - 20/08/2022,388.51428571428573,1659.159893217198,0,8825
Africa,21/08/2022 - 27/08/2022,383.3142857142857,1094.5116227966585,0,5093
Africa,28/08/2022 - 03/09/2022,205.54285714285714,968.9101318994858,0,5711
Africa,04/09/2022 - 10/09/2022,280.7142857142857,1225.2338209363902,0,7014
Africa,11/09/2022 - 17/09/2022,85.28571428571429,347.0530194643576,0,1849
Africa,18/09/2022 - 24/09/2022,301.14285714285717,921.1054146371899,0,4661
Africa,25/09/2022 - 01/10/2022,52.885714285714286,224.7144294208006,0,1325
Africa,02/10/2022 - 08/10/2022,86.37142857142857,229.74308998304608,0,1029
Africa,09/10/2022 - 15/10/2022,18.8,65.1165470973573,0,356
Africa,16/10/2022 - 22/10/2022,25.228571428571428,91.46265252398211,0,529
Africa,23/10/2022 - 29/10/2022,39.8,127.14739015618612,0,603
Africa,30/10/2022 - 05/11/2022,32.82857142857143,129.46779879325106,0,685
Africa,06/11/2022 - 12/11/2022,47.542857142857144,168.38634548127052,0,836
Africa,13/11/2022 - 19/11/2022,91.57142857142857,374.5665169636124,0,1908
Africa,20/11/2022 - 26/11/2022,33.74285714285714,128.25350421933047,0,575
Africa,27/11/2022 - 03/12/2022,104.62857142857143,586.4803835902223,0,3470
Africa,04/12/2022 - 10/12/2022,238.28571428571428,823.2039119636572,0,4589
Africa,11/12/2022 - 17/12/2022,185.85714285714286,958.2570925707697,-1960,4707
Africa,18/12/2022 - 24/12/2022,271.8285714285714,853.3446130206885,0,3831
Africa,25/12/2022 - 31/12/2022,134.97142857142856,466.9467462843554,0,1981
Africa,01/01/2023 - 07/01/2023,12.657142857142857,60.6411541762847,0,349
Africa,08/01/2023 - 14/01/2023,159.8,699.1269681875094,0,3953
Africa,15/01/2023 - 21/01/2023,100.2,309.4453101922859,0,1213
Africa,22/01/2023 - 28/01/2023,109.54285714285714,449.1332399487826,0,2488
Africa,29/01/2023 - 04/02/2023,91.65714285714286,305.82789689792594,0,1625
Africa,05/02/2023 - 11/02/2023,63.371428571428574,221.4507096550442,0,1082
Africa,12/02/2023 - 18/02/2023,41.714285714285715,143.3913959656394,0,759
Africa,19/02/2023 - 25/02/2023,49.371428571428574,152.89117346782888,0,693
Africa,26/02/2023 - 04/03/2023,23.2,72.00931312316892,0,279
Africa,05/03/2023 - 11/03/2023,12.571428571428571,45.273863200257495,0,206
Africa,12/03/2023 - 18/03/2023,47.3,139.11680060483823,0,602
America,26/01/2020 - 01/02/2020,0.07,0.3828389433765282,0,3
America,02/02/2020 - 08/02/2020,0.022857142857142857,0.1842750852957484,0,2
America,09/02/2020 - 15/02/2020,0.045714285714285714,0.2997535933875831,0,3
America,16/02/2020 - 22/02/2020,0.017142857142857144,0.13017608385522195,0,1
America,23/02/2020 - 29/02/2020,0.05714285714285714,0.27780514369851583,0,2
America,01/03/2020 - 07/03/2020,0.32571428571428573,1.2234168416663662,0,8
America,08/03/2020 - 14/03/2020,3.52,17.002312215979778,0,166
America,15/03/2020 - 21/03/2020,19.611428571428572,88.07858224475635,0,759
America,22/03/2020 - 28/03/2020,209.50857142857143,1021.6891572888061,0,8919
America,29/03/2020 - 04/04/2020,683.8571428571429,3143.445608813123,-1,22164
America,05/04/2020 - 11/04/2020,1301.1771428571428,5925.649738616171,0,35824
America,12/04/2020 - 18/04/2020,1401.5428571428572,6139.380758689283,-21,36026
America,19/04/2020 - 25/04/2020,1310.222857142857,5534.404500412596,0,33157
America,26/04/2020 - 02/05/2020,1470.337142857143,5841.993073886395,0,32078
America,03/05/2020 - 09/05/2020,1408.8514285714286,5375.077253728247,0,34822
America,10/05/2020 - 16/05/2020,1305.7885714285715,4828.73973181096,-1583,28210
America,17/05/2020 - 23/05/2020,1317.1028571428571,4413.174908268287,-50,25877
America,24/05/2020 - 30/05/2020,1452.2514285714285,4450.066039118108,0,25112
America,31/05/2020 - 06/06/2020,1551.6857142857143,4318.187036907305,0,24737
America,07/06/2020 - 13/06/2020,1563.7714285714285,4460.576567583045,0,27711
America,14/06/2020 - 20/06/2020,1618.36,4437.36450485708,0,25555
America,21/06/2020 - 27/06/2020,1797.48,5427.23585880754,0,31866
America,28/06/2020 - 04/07/2020,2343.3771428571426,7841.181964734158,0,49086
America,05/07/2020 - 11/07/2020,2764.2114285714288,9746.62695770912,0,55084
America,12/07/2020 - 18/07/2020,3158.017142857143,11542.603395892835,0,68522
America,19/07/2020 - 25/07/2020,3476.4342857142856,12638.415806942045,0,70774
America,26/07/2020 - 01/08/2020,3519.714285714286,12863.119656491126,0,74949
America,02/08/2020 - 08/08/2020,3536.457142857143,12108.175199565898,0,69204
America,09/08/2020 - 15/08/2020,3332.9714285714285,11208.460523875301,0,63767
America,16/08/2020 - 22/08/2020,3227.6628571428573,10674.8391070027,0,70072
America,23/08/2020 - 29/08/2020,2824.1885714285713,8544.04538723777,0,47900
America,30/08/2020 - 05/09/2020,2852.342857142857,8426.263272877388,0,50437
America,06/09/2020 - 12/09/2020,2760.8342857142857,8181.259371127913,0,48659
America,13/09/2020 - 19/09/2020,2607.382857142857,7574.165700176318,-7953,45615
America,20/09/2020 - 26/09/2020,2806.7485714285713,8385.983128314436,0,50227
America,27/09/2020 - 03/10/2020,2822.8914285714286,8306.971510938676,0,48997
America,04/10/2020 - 10/10/2020,2849.217142857143,8707.94237534609,0,53547
America,11/10/2020 - 17/10/2020,3345.1257142857144,10204.499584850231,0,58213
America,18/10/2020 - 24/10/2020,3402.68,11316.545615475,-2,70310
America,25/10/2020 - 31/10/2020,4087.0514285714285,14045.418797956283,0,82132
America,01/11/2020 - 07/11/2020,4479.657142857143,16669.894682356397,0,100499
